"","Year","GEOID","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10","DistrictID","District","Grade","Total_Meeting_Standard","Share_Meeting_Standard","Level","Test"
"100","2002","#N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50002,"#N/A",7,0,NA,NA,"WASL"
"101","2002","5300001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17216,"Enumclaw School District",7,117,25.94,1.785,"WASL"
"102","2002","5300002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10070,"Inchelium School District",7,3,13.59,1.5,"WASL"
"103","2002","5300003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8458,"Kelso School District",7,120,27.55,1.835,"WASL"
"104","2002","5300030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14005,"Aberdeen School District",7,0,NA,NA,"WASL"
"105","2002","5300060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21226,"Adna School District",7,8,20,1.58,"WASL"
"106","2002","5300090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22017,"#N/A",7,3,21.39,1.78,"WASL"
"107","2002","5300150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29103,"Anacortes School District",7,0,NA,NA,"WASL"
"108","2002","5300240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31016,"Arlington School District",7,0,NA,NA,"WASL"
"109","2002","5300280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2420,"Asotin-Anatone School District",7,4,9.69,1.36,"WASL"
"110","2002","5300300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17408,"Auburn School District",7,309,30.1925,1.875,"WASL"
"111","2002","5300330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18303,"Bainbridge Island School District",7,197,63.29,2.83,"WASL"
"112","2002","5300380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6119,"Battle Ground School District",7,289,35.10875,2.00125,"WASL"
"113","2002","5300390","348","2576 152ND AVE NE","REDMOND","WA","98052","LIHTC",308,"9","53","00390","Bellevue School District",17405,"Bellevue School District",7,589,52.19833333,2.475,"WASL"
"114","2002","5300420","241","524 STERLING DR","BELLINGHAM","WA","98226","LIHTC",51,"10","53","00420","Bellingham School District",37501,"Bellingham School District",7,267,42.76333333,2.21,"WASL"
"115","2002","5300420","22","401 W CHAMPION ST","BELLINGHAM","WA","98225","LIHTC",20,"10","53","00420","Bellingham School District",37501,"Bellingham School District",7,267,42.76333333,2.21,"WASL"
"116","2002","5300480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27403,"Bethel School District",7,185,18.89333333,1.603333333,"WASL"
"117","2002","5300510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20203,"Bickleton School District",7,0,NA,NA,"WASL"
"118","2002","5300570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37503,"Blaine School District",7,96,49.39,2.37,"WASL"
"119","2002","5300630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21234,"Boistfort School District",7,0,NA,NA,"WASL"
"120","2002","5300660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18100,"Bremerton School District",7,107,24.89,1.71,"WASL"
"121","2002","5300690",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24111,"Brewster School District",7,10,14.9,1.46,"WASL"
"122","2002","5300720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9075,"Bridgeport School District",7,5,17.8,1.6,"WASL"
"123","2002","5300750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16046,"Brinnon School District",7,0,NA,NA,"WASL"
