GEOID,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Other,Sh_Other
5310100,2014,890,625,0.702247191,265,0.297752809,450,363,0.806666667,87,0.239669421,71280.76529,1808,144,0.079646018,1446,0.799778761,218,0.120575221
5310200,2014,1964,1467,0.74694501,497,0.25305499,1071,903,0.843137255,168,0.186046512,77067.32981,3662,233,0.063626434,3114,0.850354997,315,0.086018569
5310300,2014,524,336,0.641221374,188,0.358778626,292,241,0.825342466,51,0.211618257,65530.21635,1053,230,0.218423552,778,0.738841406,45,0.042735043
5310400,2014,882,634,0.718820862,248,0.281179138,464,357,0.769396552,107,0.299719888,48985.2482,1707,111,0.065026362,1253,0.734036321,343,0.200937317
5310501,2014,541,409,0.756007394,132,0.243992606,296,206,0.695945946,90,0.436893204,57808.06459,1167,48,0.041131105,977,0.837189374,142,0.12167952
5310502,2014,666,453,0.68018018,213,0.31981982,290,224,0.772413793,66,0.294642857,71849.79644,1275,84,0.065882353,1055,0.82745098,136,0.106666667
5310503,2014,491,421,0.857433809,70,0.142566191,302,240,0.794701987,62,0.258333333,65735.70087,1126,42,0.037300178,1018,0.904085258,66,0.058614565
5310504,2014,492,338,0.68699187,154,0.31300813,265,219,0.826415094,46,0.210045662,76361.44167,1049,51,0.048617731,922,0.878932316,76,0.072449952
5310600,2014,886,604,0.681715576,282,0.318284424,420,350,0.833333333,70,0.2,57850.83808,1616,130,0.080445545,1389,0.859529703,97,0.060024752
5310701,2014,395,284,0.718987342,111,0.281012658,269,205,0.762081784,64,0.312195122,82307.50413,1034,289,0.279497099,676,0.65377176,69,0.066731141
5310702,2014,369,280,0.758807588,89,0.241192412,238,189,0.794117647,49,0.259259259,79862.45,876,168,0.191780822,652,0.744292237,56,0.063926941
5310703,2014,534,324,0.606741573,210,0.393258427,272,216,0.794117647,56,0.259259259,69696.72135,1118,246,0.220035778,805,0.720035778,67,0.059928444
5310800,2014,629,377,0.59936407,252,0.40063593,327,262,0.801223242,65,0.248091603,62231.16176,1275,377,0.295686275,840,0.658823529,58,0.045490196
5310901,2014,426,261,0.612676056,165,0.387323944,235,158,0.672340426,77,0.487341772,57492.73611,966,355,0.367494824,544,0.563146998,67,0.069358178
5310902,2014,481,263,0.546777547,218,0.453222453,344,250,0.726744186,94,0.376,61107.76112,1385,725,0.523465704,512,0.36967509,148,0.106859206
5311000,2014,710,549,0.773239437,161,0.226760563,401,325,0.810473815,76,0.233846154,58999.07939,1467,100,0.068166326,1278,0.871165644,89,0.06066803
5311101,2014,585,439,0.75042735,146,0.24957265,311,228,0.733118971,83,0.364035088,66078.55837,1249,121,0.096877502,962,0.770216173,166,0.132906325
5311102,2014,452,385,0.851769912,67,0.148230088,300,240,0.8,60,0.25,77022.72454,1091,46,0.042163153,925,0.847846013,120,0.109990834
5311103,2014,407,337,0.828009828,70,0.171990172,301,237,0.787375415,64,0.270042194,92932.73402,1051,51,0.048525214,860,0.818268316,140,0.13320647
5311104,2014,505,407,0.805940594,98,0.194059406,351,294,0.837606838,57,0.193877551,87680.5087,1365,80,0.058608059,1184,0.867399267,101,0.073992674
5311200,2014,672,513,0.763392857,159,0.236607143,349,251,0.719197708,98,0.390438247,55866.6721,1311,110,0.083905416,1097,0.836765828,104,0.079328757
5311300,2014,778,525,0.674807198,253,0.325192802,394,290,0.736040609,104,0.35862069,57993.29038,1538,166,0.10793238,1120,0.728218466,252,0.163849155
5311401,2014,609,469,0.770114943,140,0.229885057,338,265,0.784023669,73,0.275471698,75075.50743,1296,78,0.060185185,1025,0.790895062,193,0.148919753
5311402,2014,480,396,0.825,84,0.175,313,252,0.805111821,61,0.242063492,79405.64706,1084,38,0.035055351,936,0.863468635,110,0.101476015
