"GEOID","Year","Units","WASL","HSPE","SBA","LIHTC_Units","PUB_Units","Test_Level","Treated","Treatment","Control","Pre_Treat","Post_Treatment"
5300001,2002,0,1,0,0,0,0,1.785,0,0,0,1,0
5300001,2003,0,1,0,0,0,0,1.88,0,0,0,1,0
5300001,2004,0,1,0,0,0,0,2.31,0,0,0,1,0
5300001,2005,0,1,0,0,0,0,2.38,0,0,0,1,0
5300001,2006,0,1,0,0,0,0,2.18,0,0,0,1,0
5300001,2007,0,1,0,0,0,0,2.25,0,0,0,1,0
5300001,2008,42,1,0,0,42,0,2.39,1,1,0,0,0
5300001,2009,0,0,1,0,0,0,2.54,1,0,0,0,1
5300001,2010,0,0,1,0,0,0,2.59,1,0,0,0,1
5300001,2011,0,0,1,0,0,0,2.81,1,0,0,0,1
5300001,2012,0,0,1,0,0,0,2.67,1,0,0,0,1
5300001,2013,0,0,1,0,0,0,2.96,1,0,0,0,1
5300001,2014,0,0,1,0,0,0,0,1,0,0,0,1
5300001,2015,0,0,0,1,0,0,2.61,1,0,0,0,1
5300002,2002,0,1,0,0,0,0,1.5,0,0,1,0,0
5300002,2003,0,1,0,0,0,0,1.36,0,0,1,0,0
5300002,2004,0,1,0,0,0,0,1.52,0,0,1,0,0
5300002,2005,0,1,0,0,0,0,2.15,0,0,1,0,0
5300002,2006,0,1,0,0,0,0,1.5,0,0,1,0,0
5300002,2007,0,1,0,0,0,0,2.5,0,0,1,0,0
5300002,2008,0,1,0,0,0,0,1.76,0,0,1,0,0
5300002,2009,0,0,1,0,0,0,1.92,0,0,1,0,0
5300002,2010,0,0,1,0,0,0,1.71,0,0,1,0,0
5300002,2011,0,0,1,0,0,0,1.31,0,0,1,0,0
5300002,2012,0,0,1,0,0,0,1.29,0,0,1,0,0
5300002,2013,0,0,1,0,0,0,0,0,0,1,0,0
5300002,2014,0,0,1,0,0,0,1.69,0,0,1,0,0
5300002,2015,0,0,0,1,0,0,2.06,0,0,1,0,0
5300060,2002,0,1,0,0,0,0,1.58,0,0,1,0,0
5300060,2003,0,1,0,0,0,0,2.15,0,0,1,0,0
5300060,2004,0,1,0,0,0,0,2.17,0,0,1,0,0
5300060,2005,0,1,0,0,0,0,2.12,0,0,1,0,0
5300060,2006,0,1,0,0,0,0,2.15,0,0,1,0,0
5300060,2007,0,1,0,0,0,0,2.57,0,0,1,0,0
5300060,2008,0,1,0,0,0,0,2.05,0,0,1,0,0
5300060,2009,0,0,1,0,0,0,2.32,0,0,1,0,0
5300060,2010,0,0,1,0,0,0,2.27,0,0,1,0,0
5300060,2011,0,0,1,0,0,0,2.64,0,0,1,0,0
5300060,2012,0,0,1,0,0,0,2.34,0,0,1,0,0
5300060,2013,0,0,1,0,0,0,2.5,0,0,1,0,0
5300060,2014,0,0,1,0,0,0,2.4,0,0,1,0,0
5300060,2015,0,0,0,1,0,0,2.42,0,0,1,0,0
5300240,2002,0,1,0,0,0,0,0,0,0,1,0,0
5300240,2003,0,1,0,0,0,0,1.97,0,0,1,0,0
5300240,2004,0,1,0,0,0,0,2.23,0,0,1,0,0
5300240,2005,0,1,0,0,0,0,2.43,0,0,1,0,0
5300240,2006,0,1,0,0,0,0,2.4,0,0,1,0,0
5300240,2007,0,1,0,0,0,0,2.49,0,0,1,0,0
5300240,2008,0,1,0,0,0,0,2.48,0,0,1,0,0
5300240,2009,0,0,1,0,0,0,2.52,0,0,1,0,0
5300240,2010,0,0,1,0,0,0,2.56,0,0,1,0,0
5300240,2011,0,0,1,0,0,0,2.48,0,0,1,0,0
5300240,2012,0,0,1,0,0,0,2.88,0,0,1,0,0
5300240,2013,0,0,1,0,0,0,2.75,0,0,1,0,0
5300240,2014,0,0,1,0,0,0,1.49,0,0,1,0,0
5300240,2015,0,0,0,1,0,0,2.46,0,0,1,0,0
5300330,2002,0,1,0,0,0,0,2.83,0,0,0,1,0
5300330,2003,0,1,0,0,0,0,3,0,0,0,1,0
5300330,2004,0,1,0,0,0,0,3.03,0,0,0,1,0
5300330,2005,0,1,0,0,0,0,3.26,0,0,0,1,0
5300330,2006,0,1,0,0,0,0,3.22,0,0,0,1,0
5300330,2007,0,1,0,0,0,0,3.29,0,0,0,1,0
5300330,2008,48,1,0,0,48,0,3.18,1,1,0,0,0
5300330,2009,0,0,1,0,0,0,3.3,1,0,0,0,1
5300330,2010,0,0,1,0,0,0,3.31,1,0,0,0,1
5300330,2011,0,0,1,0,0,0,3.24,1,0,0,0,1
5300330,2012,0,0,1,0,0,0,3.19,1,0,0,0,1
5300330,2013,0,0,1,0,0,0,3.42,1,0,0,0,1
5300330,2014,0,0,1,0,0,0,3.38,1,0,0,0,1
5300330,2015,0,0,0,1,0,0,2.85,1,0,0,0,1
5300570,2002,0,1,0,0,0,0,2.37,0,0,0,1,0
5300570,2003,0,1,0,0,0,0,2.41,0,0,0,1,0
5300570,2004,0,1,0,0,0,0,3.14,0,0,0,1,0
5300570,2005,0,1,0,0,0,0,2.67,0,0,0,1,0
5300570,2006,0,1,0,0,0,0,2.49,0,0,0,1,0
5300570,2007,0,1,0,0,0,0,2.39,0,0,0,1,0
5300570,2008,0,1,0,0,0,0,2.56,0,0,0,1,0
5300570,2009,0,0,1,0,0,0,2.6,0,0,0,1,0
5300570,2010,0,0,1,0,0,0,2.76,0,0,0,1,0
5300570,2011,0,0,1,0,0,0,2.83,0,0,0,1,0
5300570,2012,0,0,1,0,0,0,2.8,0,0,0,1,0
5300570,2013,0,0,1,0,0,0,2.87,0,0,0,1,0
5300570,2014,121,0,1,0,121,0,2.6,1,1,0,0,0
5300570,2015,0,0,0,1,0,0,2.48,1,0,0,0,1
5300720,2002,0,1,0,0,0,0,1.6,0,0,1,0,0
5300720,2003,0,1,0,0,0,0,1.36,0,0,1,0,0
5300720,2004,0,1,0,0,0,0,1.53,0,0,1,0,0
5300720,2005,0,1,0,0,0,0,1.71,0,0,1,0,0
5300720,2006,0,1,0,0,0,0,1.8,0,0,1,0,0
5300720,2007,0,1,0,0,0,0,1.97,0,0,1,0,0
5300720,2008,0,1,0,0,0,0,1.9,0,0,1,0,0
5300720,2009,0,0,1,0,0,0,1.79,0,0,1,0,0
5300720,2010,0,0,1,0,0,0,2.05,0,0,1,0,0
5300720,2011,0,0,1,0,0,0,2.33,0,0,1,0,0
5300720,2012,0,0,1,0,0,0,2.45,0,0,1,0,0
5300720,2013,0,0,1,0,0,0,2.5,0,0,1,0,0
