"GEOID","Year","Units","WASL","HSPE","SBA","LIHTC_Units","PUB_Units","Test_Level","Treated","Treatment"
5300001,2002,0,1,0,0,0,0,1.785,0,0
5300001,2003,0,1,0,0,0,0,1.88,0,0
5300001,2004,0,1,0,0,0,0,2.31,0,0
5300001,2005,0,1,0,0,0,0,2.38,0,0
5300001,2006,0,1,0,0,0,0,2.18,0,0
5300001,2007,0,1,0,0,0,0,2.25,0,0
5300001,2008,42,1,0,0,42,0,2.39,1,1
5300001,2009,0,0,1,0,0,0,2.54,1,0
5300001,2010,0,0,1,0,0,0,2.59,1,0
5300001,2011,0,0,1,0,0,0,2.81,1,0
5300001,2012,0,0,1,0,0,0,2.67,1,0
5300001,2013,0,0,1,0,0,0,2.96,1,0
5300001,2014,0,0,1,0,0,0,0,1,0
5300001,2015,0,0,0,1,0,0,2.61,1,0
5300002,2002,0,1,0,0,0,0,1.5,0,0
5300002,2003,0,1,0,0,0,0,1.36,0,0
5300002,2004,0,1,0,0,0,0,1.52,0,0
5300002,2005,0,1,0,0,0,0,2.15,0,0
5300002,2006,0,1,0,0,0,0,1.5,0,0
5300002,2007,0,1,0,0,0,0,2.5,0,0
5300002,2008,0,1,0,0,0,0,1.76,0,0
5300002,2009,0,0,1,0,0,0,1.92,0,0
5300002,2010,0,0,1,0,0,0,1.71,0,0
5300002,2011,0,0,1,0,0,0,1.31,0,0
5300002,2012,0,0,1,0,0,0,1.29,0,0
5300002,2013,0,0,1,0,0,0,0,0,0
5300002,2014,0,0,1,0,0,0,1.69,0,0
5300002,2015,0,0,0,1,0,0,2.06,0,0
5300003,2002,0,1,0,0,0,0,1.835,0,0
5300003,2003,0,1,0,0,0,0,1.93,0,0
5300003,2004,0,1,0,0,0,0,2.2,0,0
5300003,2005,0,1,0,0,0,0,2.23,0,0
5300003,2006,26,1,0,0,26,0,2.22,1,1
5300003,2007,0,1,0,0,0,0,2.24,1,0
5300003,2008,0,1,0,0,0,0,2.14,1,0
5300003,2009,0,0,1,0,0,0,2.17,1,0
5300003,2010,0,0,1,0,0,0,2.27,1,0
5300003,2011,0,0,1,0,0,0,2.18,1,0
5300003,2012,0,0,1,0,0,0,2.55,1,0
5300003,2013,0,0,1,0,0,0,2.59,1,0
5300003,2014,0,0,1,0,0,0,2.34,1,0
5300003,2015,0,0,0,1,0,0,2.13,1,0
5300030,2002,0,1,0,0,0,0,0,0,0
5300030,2003,0,1,0,0,0,0,1.91,0,0
5300030,2004,0,1,0,0,0,0,2.13,0,0
5300030,2005,0,1,0,0,0,0,2.28,0,0
5300030,2006,0,1,0,0,0,0,2.01,0,0
5300030,2007,0,1,0,0,0,0,2.43,0,0
5300030,2008,0,1,0,0,0,0,2.18,0,0
5300030,2009,0,0,1,0,0,0,2.32,0,0
5300030,2010,0,0,1,0,0,0,2.14,0,0
5300030,2011,0,0,1,0,0,0,2.22,0,0
