"","GEOID","Year","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10"
"1","5300150","2009","97","1110 27TH CT","ANACORTES","WA","98221","LIHTC",32,"3","53","00150","Anacortes School District"
"2","5300150","2006","220","806 COMMERCIAL AVE","ANACORTES","WA","98221","LIHTC",25,"3","53","00150","Anacortes School District"
"3","5300150","2003","436","801 29TH ST","ANACORTES","WA","98221","LIHTC",46,"3","53","00150","Anacortes School District"
"4","5300300","2000","67","950 14TH ST NE","AUBURN","WA","98002","LIHTC",24,"6","53","00300","Auburn School District"
"5","5300300","2000","69","30819 124TH AVE SE","AUBURN","WA","98092","LIHTC",48,"6","53","00300","Auburn School District"
"6","5300300","2008","237","12722 SE 312TH ST","AUBURN","WA","98092","LIHTC",332,"6","53","00300","Auburn School District"
"7","5300300","2003","249","205 E MAIN ST","AUBURN","WA","98002","LIHTC",24,"6","53","00300","Auburn School District"
"8","5300300","2003","267","134 THIRD AVE SE","PACIFIC","WA","98047","LIHTC",50,"6","53","00300","Auburn School District"
"9","5300300","2005","326","920 B ST SE","AUBURN","WA","98002","LIHTC",60,"6","53","00300","Auburn School District"
"10","5300300","2012","362","1103 NINTH ST SE","AUBURN","WA","98002","LIHTC",58,"6","53","00300","Auburn School District"
"11","5300330","2008","110","821 HIGH SCHOOL RD NE","BAINBRIDGE ISLAND","WA","98110","LIHTC",48,"7","53","00330","Bainbridge Island School District"
"12","5300380","2007","227","617 SE FOURTH ST","BATTLE GROUND","WA","98604","LIHTC",36,"8","53","00380","Battle Ground School District"
"13","5300380","2008","233","12611 NE 99TH ST","VANCOUVER","WA","98682","LIHTC",280,"8","53","00380","Battle Ground School District"
"14","5300380","2005","303","407 SW 20TH AVE","BATTLE GROUND","WA","98604","LIHTC",39,"8","53","00380","Battle Ground School District"
"15","5300380","2007","472","518 NW 12TH AVE","BATTLE GROUND","WA","98604","LIHTC",50,"8","53","00380","Battle Ground School District"
"16","5300380","2007","473","520 NW 12TH AVE","BATTLE GROUND","WA","98604","LIHTC",28,"8","53","00380","Battle Ground School District"
"17","5300390","2000","37","14700 NE 29TH PL","BELLEVUE","WA","98007","LIHTC",88,"9","53","00390","Bellevue School District"
"18","5300390","2000","38","14500 NE 29TH PL","BELLEVUE","WA","98007","LIHTC",108,"9","53","00390","Bellevue School District"
"19","5300390","2000","62","15406 SE NEWPORT WAY","BELLEVUE","WA","98006","LIHTC",51,"9","53","00390","Bellevue School District"
"20","5300390","2003","160","14511 NE 35TH ST","BELLEVUE","WA","98007","LIHTC",48,"9","53","00390","Bellevue School District"
"21","5300390","2011","175","4220 FACTORIA BLVD SE","BELLEVUE","WA","98006","LIHTC",41,"9","53","00390","Bellevue School District"
"22","5300390","2002","348","2576 152ND AVE NE","REDMOND","WA","98052","LIHTC",308,"9","53","00390","Bellevue School District"
"23","5300390","2004","377","2627 148TH AVE SE","BELLEVUE","WA","98007","LIHTC",18,"9","53","00390","Bellevue School District"
