
Descriptive Statistics
========================================================================
Statistic                N       Mean      St. Dev.     Min       Max   
------------------------------------------------------------------------
Year                   1,176   2,008.500     4.033     2,002     2,015  
GEOID                  1,176 5,305,298.000 2,875.454 5,300,002 5,309,870
Share_Meeting_Standard 1,176    46.914      16.855     5.400    94.400  
Level                  1,176     2.304       0.406     0.000     3.420  
All_Housing            1,176     0.085       0.279       0         1    
LIHTC                  1,176     0.016       0.126       0         1    
PUB                    1,176     0.001       0.029       0         1    
P_02                   1,176     0.000       0.000       0         0    
P_03                   1,176     0.000       0.000       0         0    
P_04                   1,176     0.000       0.000       0         0    
P_05                   1,176     0.000       0.000       0         0    
P_06                   1,176     0.000       0.000       0         0    
P_07                   1,176     0.004       0.065       0         1    
P_08                   1,176     0.004       0.065       0         1    
P_09                   1,176     0.003       0.050       0         1    
P_10                   1,176     0.000       0.000       0         0    
P_11                   1,176     0.002       0.041       0         1    
P_12                   1,176     0.001       0.029       0         1    
P_13                   1,176     0.002       0.041       0         1    
P_14                   1,176     0.002       0.041       0         1    
P_15                   1,176     0.000       0.000       0         0    
WASL                   1,176     0.500       0.500       0         1    
HSPE                   1,176     0.429       0.495       0         1    
SBA                    1,176     0.071       0.258       0         1    
LIHTC_Units            1,176     1.009      10.661       0        200   
PUB_Units              1,176     0.051       1.750       0        60    
Units                  1,176     1.060      10.798       0        200   
Count                  1,176     1.002       0.041       1         2    
Placement              1,176     0.017       0.129       0         1    
------------------------------------------------------------------------
